user_id,similarity_zero_count,tracks_in_top20,top20_tracks_count
355846758,4,10,20
1,0,0,0
143323595,8,1,20
1084970499,4,0,20
56426269,46,3,20
1021422385,46,0,20
561344419,46,0,20
736750737,46,1,20
766130229,0,0,0
21,1,0,0
22,0,0,0
40,1,0,0
680995689,10,0,20
378118909,46,11,20
1021139334,4,0,20
166220527,10,0,20
166845152,46,4,20
171754634,46,1,20
180854663,10,2,20
186806131,46,1,20
194118736,46,0,20
209865523,46,11,20
226492618,4,0,20
230388129,46,7,20
241869361,46,11,20
269487052,46,5,20
279244851,1,0,20
285581821,8,4,20
297922641,46,5,20
311022827,8,5,20
319387122,10,0,20
320332176,46,1,20
5898,2,1,20
10054150,0,0,0
12350095,8,3,20
50331449,46,9,20
51503353,10,2,20
81497874,0,0,0
99839399,0,0,0
128579620,46,0,20
352807988,2,0,20
376995746,8,1,20
393467750,46,4,20
488823322,0,0,0
491119963,46,1,20
506242790,10,3,20
515869754,46,0,20
518142219,4,0,20
521411927,46,5,20
559593247,46,5,20
560263909,0,0,0
600431061,8,0,20
627846415,8,8,20
628658916,0,0,0
730394404,1,0,20
730654420,46,0,20
737472328,46,0,20
739428407,10,0,20
421957669,10,0,20
456677473,46,1,20
653177785,0,0,0
661082136,46,4,20
694108330,46,0,20
702881370,46,1,20
721409066,8,1,20
740919706,46,0,20
746146078,2,1,20
747372102,10,1,20
789632246,46,0,20
792792200,46,0,20
814413015,46,0,20
814490422,10,0,20
818511175,46,0,20
820052207,46,1,20
822685022,46,0,20
823332353,46,0,20
825985478,8,6,20
844511087,46,0,20
848461386,46,0,20
851530509,46,0,20
852752651,46,0,20
855398318,46,6,20
862790585,46,0,20
864455624,0,0,0
874874008,0,0,0
877600746,46,0,20
890805590,46,0,20
1019510465,0,0,0
1029461419,46,0,20
1047859282,10,0,20
1055815064,0,0,0
1060234146,46,0,20
1076936838,46,0,20
